std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,4.68,1,nM,CHEMBL691,-4.68,4.32,CHEMBL251,adenosine_A2a_receptor,False,False,False
CC(=O)NCCNc1[nH]c(-c2ccccc2)nc2nc(C)c(C)c1-2,7.32,2,nM,CHEMBL81616,-7.32,1.6799999999999997,CHEMBL251,adenosine_A2a_receptor,False,False,False
CC(=O)Nc1ccc(-c2cn3c(nc4ccccc43)c(N)n2)cc1,6.51,1,nM,CHEMBL4873408,-6.51,2.49,CHEMBL251,adenosine_A2a_receptor,False,False,False
CC(=O)Nc1cccc(-c2cn3c(nc4ccccc43)c(N)n2)c1,7.31,1,nM,CHEMBL4858421,-7.31,1.6900000000000004,CHEMBL251,adenosine_A2a_receptor,False,False,False
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,8.04,1,nM,CHEMBL4128926,-8.04,0.9600000000000009,CHEMBL251,adenosine_A2a_receptor,False,False,False
CC(C)(C)c1ccc(-c2cn3c(nc4ccccc43)c(N)n2)cc1,7.48,1,nM,CHEMBL4875468,-7.48,1.5199999999999996,CHEMBL251,adenosine_A2a_receptor,False,False,False
CC(C)Cn1cnc2c(N)nc3ccccc3c21,5.27,1,nM,CHEMBL1282,-5.27,3.7300000000000004,CHEMBL251,adenosine_A2a_receptor,False,False,False
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,5.04,1,nM,CHEMBL411,-5.04,3.96,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCCCCCc1ccc(O)cc1,4.65,1,nM,CHEMBL195437,-4.65,4.35,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,5.11,1,nM,CHEMBL123203,-5.11,3.8899999999999997,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,6.7,1,nM,CHEMBL122511,-6.7,2.3,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3cc(OC)c(OC)c(OC)c3)nn12,5.6,1,nM,CHEMBL333535,-5.6,3.4000000000000004,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(Br)cc3)nn12,5.48,1,nM,CHEMBL123144,-5.48,3.5199999999999996,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(C)cc3)nn12,6.75,1,nM,CHEMBL332742,-6.75,2.25,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(Cl)cc3)nn12,5.58,1,nM,CHEMBL121339,-5.58,3.42,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(F)cc3)nn12,6.29,1,nM,CHEMBL333415,-6.29,2.71,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(O)cc3)nn12,7.24,1,nM,CHEMBL123450,-7.24,1.7599999999999998,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3cccc(C)c3)nn12,6.73,1,nM,CHEMBL122685,-6.73,2.2699999999999996,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3cccc(Cl)c3)nn12,7.25,1,nM,CHEMBL122667,-7.25,1.75,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3cccc(OC)c3)nn12,7.17,1,nM,CHEMBL123172,-7.17,1.83,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,7.15,3,nM,CHEMBL122512,-7.15,1.8499999999999996,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3ccccc3Cl)nn12,7.75,1,nM,CHEMBL124788,-7.75,1.25,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3cccnc3)nn12,6.05,1,nM,CHEMBL123195,-6.05,2.95,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(-c3ccco3)nn12,6.68,1,nM,CHEMBL125647,-6.68,2.3200000000000003,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(C)nn12,7.34,1,nM,CHEMBL123310,-7.34,1.6600000000000001,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]cnc2c2nc(Cc3ccccc3)nn12,7.33,1,nM,CHEMBL122928,-7.33,1.67,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]ncc2c2nc(-c3ccc(OC)cc3)nn12,5.58,2,nM,CHEMBL126061,-5.58,3.42,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]ncc2c2nc(-c3ccc(OCC)cc3)nn12,5.57,1,nM,CHEMBL340262,-5.57,3.4299999999999997,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]ncc2c2nc(-c3cccc(Cl)c3)nn12,6.12,1,nM,CHEMBL124900,-6.12,2.88,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]ncc2c2nc(-c3ccccc3)nn12,6.72,1,nM,CHEMBL340657,-6.72,2.2800000000000002,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2[nH]ncc2c2nc(-c3ccccc3Cl)nn12,6.89,1,nM,CHEMBL421611,-6.89,2.1100000000000003,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCCc1nc2ccccc2c2nc(-c3ccc(O)cc3)nn12,5.28,1,nM,CHEMBL338057,-5.28,3.7199999999999998,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,6.92,1,nM,CHEMBL123465,-6.92,2.08,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,6.6,1,nM,CHEMBL192,-6.6,2.4000000000000004,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CCC)c1=O,9.0,1,nM,CHEMBL27508,-9.0,0.0,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCNC(=O)[C@H]1O[C@@H](N2CNc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,6.89,1,nM,CHEMBL2391907,-6.89,2.1100000000000003,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,4.58,1,nM,CHEMBL4861092,-4.58,4.42,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCOc1ccc(CCNc2nc(N)c(C(=O)N=C(N)N)nc2Cl)cc1,5.47,1,nM,CHEMBL3818905,-5.47,3.5300000000000002,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,6.44,1,nM,CHEMBL330873,-6.44,2.5599999999999996,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCc1nc2[nH]ncc2c2nc(-c3ccccc3)nn12,6.51,1,nM,CHEMBL340221,-6.51,2.49,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,5.36,1,nM,CHEMBL217899,-5.36,3.6399999999999997,CHEMBL251,adenosine_A2a_receptor,False,False,False
CCn1c(=O)c2c(C)c(C(=O)N3CCC(O)CC3)sc2n(CCC(F)(F)F)c1=O,6.09,1,nM,CHEMBL4522981,-6.09,2.91,CHEMBL251,adenosine_A2a_receptor,False,False,False
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,5.47,1,nM,CHEMBL64894,-5.47,3.5300000000000002,CHEMBL251,adenosine_A2a_receptor,False,False,False
CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1,4.43,1,nM,CHEMBL434063,-4.43,4.57,CHEMBL251,adenosine_A2a_receptor,False,False,False
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,4.84,1,nM,CHEMBL4871554,-4.84,4.16,CHEMBL251,adenosine_A2a_receptor,False,False,False
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],5.39,1,nM,CHEMBL1726,-5.39,3.6100000000000003,CHEMBL251,adenosine_A2a_receptor,False,False,False
COC(=O)C1=C2C=CN(C)C=C2c2nc(-c3ccccc3)nn2C1,4.56,1,nM,CHEMBL52735,-4.56,4.44,CHEMBL251,adenosine_A2a_receptor,False,False,False
COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,5.12,1,nM,CHEMBL9514,-5.12,3.88,CHEMBL251,adenosine_A2a_receptor,False,False,False
