std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
C#CCNc1nc(Nc2ccc(S(N)(=O)=O)cc2)ncc1Br,6.48,1,nM,CHEMBL549757,-6.48,2.5199999999999996,CHEMBL205,carbonic_anhydrase_II,False,False,False
C/C=C/C(=O)Oc1ccc2sc(S(N)(=O)=O)nc2c1,8.68,1,nM,CHEMBL79324,-8.68,0.3200000000000003,CHEMBL205,carbonic_anhydrase_II,False,False,False
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.68,5,nM,CHEMBL19,-7.68,1.3200000000000003,CHEMBL205,carbonic_anhydrase_II,True,True,True
CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(=O)OC(C)(C)C,6.824999999999999,2,nM,CHEMBL507085,-6.824999999999999,2.1750000000000007,CHEMBL205,carbonic_anhydrase_II,True,True,True
CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(=O)c1ccccc1,6.245,2,nM,CHEMBL444683,-6.245,2.755,CHEMBL205,carbonic_anhydrase_II,True,True,True
CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(C)=O,6.91,2,nM,CHEMBL453931,-6.91,2.09,CHEMBL205,carbonic_anhydrase_II,True,True,True
CC(=O)Cn1c(C)cc2c(-n3nc(C(=O)Nc4nnc(S(N)(=O)=O)s4)c(C(=O)c4ccccc4)c3-c3ccccc3)cccc21,6.75,2,nM,CHEMBL443431,-6.75,2.25,CHEMBL205,carbonic_anhydrase_II,True,True,True
CC(=O)NO,4.33,3,nM,CHEMBL734,-4.33,4.67,CHEMBL205,carbonic_anhydrase_II,False,False,False
CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)c1ccc(S(N)(=O)=O)cc1,7.44,1,nM,CHEMBL5074657,-7.44,1.5599999999999996,CHEMBL205,carbonic_anhydrase_II,False,False,False
CC(=O)Nc1ccc2cc(S(N)(=O)=O)sc2c1,8.32,1,nM,CHEMBL87444,-8.32,0.6799999999999997,CHEMBL205,carbonic_anhydrase_II,False,False,False
