std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
C#CCN(C)C(=O)CC1CN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,7.85,1,nM,CHEMBL64904,-7.85,1.1500000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C#CCN(C)C(=O)CC1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,7.72,1,nM,CHEMBL291644,-7.72,1.2800000000000002,CHEMBL244,coagulation_factor_X,False,False,False
C#CCO[C@@H]1C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,4.49,1,nM,CHEMBL4639518,-4.49,4.51,CHEMBL244,coagulation_factor_X,False,False,False
C#Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,8.09,1,nM,CHEMBL487956,-8.09,0.9100000000000001,CHEMBL244,coagulation_factor_X,False,False,False
C#Cc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccc(C(=N)N(C)C)cc2)cc1,9.05,1,nM,CHEMBL470905,-9.05,-0.05000000000000071,CHEMBL244,coagulation_factor_X,False,False,False
C#Cc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccc(C(=N)N(C)C)cc2)nc1,9.1,1,nM,CHEMBL513218,-9.1,-0.09999999999999964,CHEMBL244,coagulation_factor_X,False,False,False
C#Cc1ccc(NC(=O)c2cc(OC)ccc2NC(=O)c2nc3c(s2)CN(C)CC3)cc1,7.7,1,nM,CHEMBL4530584,-7.7,1.2999999999999998,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ccnc(N)c2c1,6.06,1,nM,CHEMBL62362,-6.06,2.9400000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ncnc(N)c2c1,6.57,1,nM,CHEMBL303526,-6.57,2.4299999999999997,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\CC(=O)O)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,6.63,1,nM,CHEMBL39425,-6.63,2.37,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\CC(N)=O)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,7.0,2,nM,CHEMBL40162,-7.0,2.0,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2C#N)cc1)c1ccc2ccnc(N)c2c1,6.72,1,nM,CHEMBL60097,-6.72,2.2800000000000002,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2C(N)=O)cc1)c1ccc2ccnc(N)c2c1,6.66,1,nM,CHEMBL62959,-6.66,2.34,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cc(Cl)ccc1C#N,5.02,1,nM,CHEMBL303776,-5.02,3.9800000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cc(N)ccc1[N+](=O)[O-],6.6,1,nM,CHEMBL64942,-6.6,2.4000000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc(F)c(C(=N)N)c1,8.44,1,nM,CHEMBL40074,-8.44,0.5600000000000005,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2[nH]nc(N)c2c1,5.23,1,nM,CHEMBL103041,-5.23,3.7699999999999996,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ccnc(N)c2c1,7.85,1,nM,CHEMBL302841,-7.85,1.1500000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,9.0,2,nM,CHEMBL286915,-9.0,0.0,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N2CCC2)c1,6.05,1,nM,CHEMBL317054,-6.05,2.95,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NC#N)c1,6.6,1,nM,CHEMBL99691,-6.6,2.4000000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NC2CC2)c1,5.79,1,nM,CHEMBL102791,-5.79,3.21,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NN(C)C)c1,6.31,1,nM,CHEMBL419350,-6.31,2.6900000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NNCC(F)(F)F)c1,6.38,1,nM,CHEMBL103548,-6.38,2.62,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NNc2ccccc2)c1,6.12,1,nM,CHEMBL100059,-6.12,2.88,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NO)c1,6.36,1,nM,CHEMBL322375,-6.36,2.6399999999999997,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(N)=O)c1,6.04,1,nM,CHEMBL64448,-6.04,2.96,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(CN)c1,5.89,1,nM,CHEMBL62781,-5.89,3.1100000000000003,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cc(Br)ccc1[N+](=O)[O-],5.54,1,nM,CHEMBL63074,-5.54,3.46,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1ccc(F)c(C(=N)N)c1,9.12,1,nM,CHEMBL288820,-9.12,-0.11999999999999922,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1ccc2ccnc(N)c2c1,8.15,1,nM,CHEMBL63088,-8.15,0.8499999999999996,CHEMBL244,coagulation_factor_X,False,False,False
