std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1,6.05,1,nM,CHEMBL113282,-6.05,2.95,CHEMBL217,dopamine_D2_receptor,False,False,False
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,6.11,1,nM,CHEMBL43064,-6.11,2.8899999999999997,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4[nH]c5ccc(Cl)cc5c4c3)CC2)c2ccccc21,6.3,1,nM,CHEMBL1934127,-6.3,2.7,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4c(c3)c3ccccc3n4C(N)=O)CC2)c2ccccc21,5.82,1,nM,CHEMBL1934130,-5.82,3.1799999999999997,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,6.0,1,nM,CHEMBL250689,-6.0,3.0,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(=O)c1sc(NC(=O)N[C@@H]2CN(C(C)=O)CC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)nc1C,6.19,1,nM,CHEMBL249854,-6.19,2.8099999999999996,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)N1C=CN(C(=O)CCCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1=O,5.76,1,nM,CHEMBL5290330,-5.76,3.24,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)NC(=O)C1C(=O)NCCN1C(=O)CCCN1CCN(c2cccc(Cl)c2Cl)CC1,8.42,1,nM,CHEMBL5266508,-8.42,0.5800000000000001,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)NC(=O)Cn1c(CCCN2CCN(c3cccc(Cl)c3Cl)CC2)nc2cc(Br)c(Br)cc21,6.35,1,nM,CHEMBL5282604,-6.35,2.6500000000000004,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)NC(=O)Cn1c(CCCN2CCN(c3cccc(Cl)c3Cl)CC2)nc2ccccc21,6.43,1,nM,CHEMBL5273880,-6.43,2.5700000000000003,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,8.74,1,nM,CHEMBL4128926,-8.74,0.2599999999999998,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,8.055,6,nM,CHEMBL1255588,-8.055,0.9450000000000003,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)[C@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,8.96,1,nM,CHEMBL3885419,-8.96,0.03999999999999915,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,9.025,2,nM,CHEMBL8514,-9.025,-0.025000000000000355,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,6.575,2,nM,CHEMBL305660,-6.575,2.425,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,8.8,1,nM,CHEMBL493,-8.8,0.1999999999999993,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,8.71,1,nM,CHEMBL1403281,-8.71,0.28999999999999915,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1,6.21,1,nM,CHEMBL64119,-6.21,2.79,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,8.83,1,nM,CHEMBL1255837,-8.83,0.16999999999999993,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,8.3,1,nM,CHEMBL1385840,-8.3,0.6999999999999993,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,6.555,2,nM,CHEMBL643,-6.555,2.4450000000000003,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(CNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,5.6,1,nM,CHEMBL1945036,-5.6,3.4000000000000004,CHEMBL217,dopamine_D2_receptor,False,False,False
CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12,6.9,1,nM,CHEMBL1945297,-6.9,2.0999999999999996,CHEMBL217,dopamine_D2_receptor,False,False,False
