std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,5.369999999999999,2,nM,CHEMBL4280886,-5.369999999999999,3.630000000000001,CHEMBL240,hERG,False,False,False
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,5.6,1,nM,CHEMBL3897030,-5.6,3.4000000000000004,CHEMBL240,hERG,False,False,False
Brc1cccc2nc(C#Cc3ccccn3)ccc12,4.64,1,nM,CHEMBL2335295,-4.64,4.36,CHEMBL240,hERG,False,False,False
Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,5.64,1,nM,CHEMBL611369,-5.64,3.3600000000000003,CHEMBL240,hERG,False,False,False
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,4.82,1,nM,CHEMBL2333645,-4.82,4.18,CHEMBL240,hERG,False,False,False
C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,4.51,1,nM,CHEMBL1783876,-4.51,4.49,CHEMBL240,hERG,False,False,False
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,5.16,1,nM,CHEMBL4560579,-5.16,3.84,CHEMBL240,hERG,False,False,False
C#Cc1cnc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)cc1NC,5.1,1,nM,CHEMBL2204589,-5.1,3.9000000000000004,CHEMBL240,hERG,False,False,False
C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1,5.09,1,nM,CHEMBL4740741,-5.09,3.91,CHEMBL240,hERG,False,False,False
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1,5.84,1,nM,CHEMBL224834,-5.84,3.16,CHEMBL240,hERG,False,False,False
C(#Cc1ccc2ccccc2n1)c1ccccn1,4.69,1,nM,CHEMBL2335291,-4.69,4.31,CHEMBL240,hERG,False,False,False
C/C(=N\NC(=N)N)c1ccc2c(c1)Cc1cc(/C(C)=N/NC(=N)N)ccc1-2,5.95,1,nM,CHEMBL3944559,-5.95,3.05,CHEMBL240,hERG,False,False,False
C/C=C/c1cc(C(F)(F)F)cc(COCC2(c3ccc(F)cc3)CCN(C)CC2)n1,4.89,1,nM,CHEMBL2333635,-4.89,4.11,CHEMBL240,hERG,False,False,False
C/C=C1/N(C)C(C)CC1(c1ccccc1)c1ccccc1,4.3,1,nM,CHEMBL196431,-4.3,4.7,CHEMBL240,hERG,False,False,False
C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,5.07,1,nM,CHEMBL452864,-5.07,3.9299999999999997,CHEMBL240,hERG,False,False,False
C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,6.17,1,nM,CHEMBL492447,-6.17,2.83,CHEMBL240,hERG,True,True,True
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1,5.14,1,nM,CHEMBL2035183,-5.14,3.8600000000000003,CHEMBL240,hERG,False,False,False
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,5.62,1,nM,CHEMBL2035052,-5.62,3.38,CHEMBL240,hERG,False,False,False
C1=CCC(c2cc3ccccc3o2)CNC1,4.72,1,nM,CHEMBL2326690,-4.72,4.28,CHEMBL240,hERG,False,False,False
C1=CCC(c2ccc3ccccc3c2)CNC1,4.81,1,nM,CHEMBL2322001,-4.81,4.19,CHEMBL240,hERG,False,False,False
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,5.11,4,nM,CHEMBL75880,-5.11,3.8899999999999997,CHEMBL240,hERG,False,False,False
C=C(C)COc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,5.795,2,nM,CHEMBL566759,-5.795,3.205,CHEMBL240,hERG,False,False,False
C=C(F)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN,5.4,1,nM,CHEMBL3416051,-5.4,3.5999999999999996,CHEMBL240,hERG,False,False,False
C=C(N(C)Cc1ccc(-c2ccccc2)cc1)N1CCN(C(C)C)CC1,5.09,1,nM,CHEMBL1823339,-5.09,3.91,CHEMBL240,hERG,False,False,False
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,5.85,1,nM,CHEMBL4483575,-5.85,3.1500000000000004,CHEMBL240,hERG,False,False,False
C=CC(=O)N1C(=O)CC(c2ccc(F)cc2)Sc2ccccc21,4.43,1,nM,CHEMBL5071369,-4.43,4.57,CHEMBL240,hERG,False,False,False
C=CC(=O)N1CCC(Cn2cc(-c3ccc4c(c3)OCO4)c3c(N)ncnc32)CC1,4.96,1,nM,CHEMBL4755698,-4.96,4.04,CHEMBL240,hERG,False,False,False
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)n[nH]c(=O)c32)C1,5.25,1,nM,CHEMBL4754834,-5.25,3.75,CHEMBL240,hERG,False,False,False
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,5.535,2,nM,CHEMBL1873475,-5.535,3.465,CHEMBL240,hERG,False,False,False
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)NCc4ccc(C(C)(C)C)cc4)c3)c3c(N)ncnc32)C1,5.75,1,nM,CHEMBL2179806,-5.75,3.25,CHEMBL240,hERG,False,False,False
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)c(C)c4)c3)c3c(N)ncnc32)C1,6.52,1,nM,CHEMBL2179805,-6.52,2.4800000000000004,CHEMBL240,hERG,False,False,False
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1,5.96,1,nM,CHEMBL2179804,-5.96,3.04,CHEMBL240,hERG,False,False,False
C=CC(=O)N1CCC[C@H]1COc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,7.31,1,nM,CHEMBL4537231,-7.31,1.6900000000000004,CHEMBL240,hERG,False,False,False
C=CC(=O)N[C@H]1CCN(c2ccc(C(N)=O)c(Nc3ccc(N4CCCCC4)cc3)n2)C1,5.48,1,nM,CHEMBL4278321,-5.48,3.5199999999999996,CHEMBL240,hERG,False,False,False
C=CC(=O)N[C@H]1CCN(c2ccc(C(N)=O)c(Nc3ccc(N4CCCCC4)nc3)n2)C1,6.58,1,nM,CHEMBL4278717,-6.58,2.42,CHEMBL240,hERG,False,False,False
C=CC(=O)N[C@H]1CCN(c2ccc(C(N)=O)c(Nc3ccc(N4CCOCC4)nc3)n2)C1,5.82,1,nM,CHEMBL4286628,-5.82,3.1799999999999997,CHEMBL240,hERG,False,False,False
C=CC(=O)N[C@H]1CCN(c2ccc(C(N)=O)c(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)nc3)n2)C1,5.0,1,nM,CHEMBL4282893,-5.0,4.0,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5.37,1,nM,CHEMBL3353406,-5.37,3.63,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.81,1,nM,CHEMBL3353409,-4.81,4.19,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.83,1,nM,CHEMBL3353408,-4.83,4.17,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5.13,1,nM,CHEMBL3353407,-5.13,3.87,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5.17,1,nM,CHEMBL3353404,-5.17,3.83,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,5.4,1,nM,CHEMBL3353405,-5.4,3.5999999999999996,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,5.15,1,nM,CHEMBL2426277,-5.15,3.8499999999999996,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1,5.25,1,nM,CHEMBL3353403,-5.25,3.75,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.76,1,nM,CHEMBL3353411,-4.76,4.24,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,5.04,1,nM,CHEMBL2426279,-5.04,3.96,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5.515000000000001,2,nM,CHEMBL3353410,-5.515000000000001,3.4849999999999994,CHEMBL240,hERG,True,True,True
C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C,5.07,1,nM,CHEMBL4104658,-5.07,3.9299999999999997,CHEMBL240,hERG,False,False,False
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3[nH]ccc23)c1,6.0,1,nM,CHEMBL3787662,-6.0,3.0,CHEMBL240,hERG,False,False,False
C=CCN1C[C@H]2C[C@@]2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1,7.0,1,nM,CHEMBL1224698,-7.0,2.0,CHEMBL240,hERG,False,False,False
C=CCOC[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,5.3,1,nM,CHEMBL1834645,-5.3,3.7,CHEMBL240,hERG,False,False,False
C=CCO[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,5.13,1,nM,CHEMBL1834648,-5.13,3.87,CHEMBL240,hERG,False,False,False
C=CCOc1cc(F)c(F)cc1C1CC1CN,5.04,1,nM,CHEMBL3769968,-5.04,3.96,CHEMBL240,hERG,False,False,False
C=CCOc1ccc(Cl)cc1[C@H]1C[C@@H]1CN,6.57,1,nM,CHEMBL3416047,-6.57,2.4299999999999997,CHEMBL240,hERG,False,False,False
C=CCc1ccccc1OC(C)C1=NCCN1,4.77,1,nM,CHEMBL495095,-4.77,4.23,CHEMBL240,hERG,True,True,True
