std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
Brc1ccc2[nH]cc(CCCN3CCN(CCCc4c[nH]c5ccc(Br)cc45)CC3)c2c1,5.92,1,nM,CHEMBL3092350,-5.92,3.08,CHEMBL214,serotonin_1a_receptor,False,False,False
Brc1ccc2[nH]cc(CCCN3CCN(CCCc4c[nH]c5ccccc45)CC3)c2c1,7.82,1,nM,CHEMBL3092351,-7.82,1.1799999999999997,CHEMBL214,serotonin_1a_receptor,False,False,False
C(=C/c1ccccc1)\CN1CCN(c2nc3ccsc3n3cccc23)CC1,7.08,1,nM,CHEMBL261977,-7.08,1.92,CHEMBL214,serotonin_1a_receptor,False,False,False
C/C(=N\OC(=O)Nc1ccccc1)c1cccc(-c2cccs2)c1,9.0,1,nM,CHEMBL1210154,-9.0,0.0,CHEMBL214,serotonin_1a_receptor,False,False,False
C=CCN1CCN(c2nc3ccc4ncccc4c3n3cccc23)CC1,5.34,1,nM,CHEMBL299097,-5.34,3.66,CHEMBL214,serotonin_1a_receptor,False,False,False
C=CCN1CCN(c2nc3cccnc3n3cccc23)CC1,6.93,1,nM,CHEMBL299231,-6.93,2.0700000000000003,CHEMBL214,serotonin_1a_receptor,False,False,False
C=CCN1CCN(c2nc3ccsc3n3cccc23)CC1,6.92,1,nM,CHEMBL62274,-6.92,2.08,CHEMBL214,serotonin_1a_receptor,False,False,False
C=CCN1CCN(c2nc3sccc3n3cccc23)CC1,7.17,2,nM,CHEMBL51118,-7.17,1.83,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(=O)N1CCc2c(sc3nc(SCCCN4CCN(c5ccc6ccccc6n5)CC4)n(N)c(=O)c23)C1,8.6,1,nM,CHEMBL1277558,-8.6,0.40000000000000036,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(=O)Nc1ccc(Cc2noc(-c3ccc4[nH]cc(CCN)c4c3)n2)cc1,8.3,1,nM,CHEMBL289489,-8.3,0.6999999999999993,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,9.37,1,nM,CHEMBL4128926,-9.37,-0.3699999999999992,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,7.33,1,nM,CHEMBL305660,-7.33,1.67,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)(CCN1C(=O)CC2(CCCC2)CC1=O)CN1CCN(c2ncccn2)CC1,6.15,1,nM,CHEMBL44992,-6.15,2.8499999999999996,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)/N=C(\N)NNCCCNCC1CCc2ccccc2O1,8.1,1,nM,CHEMBL90443,-8.1,0.9000000000000004,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)/N=C(\NC#N)NCCCNCC1CCc2ccccc2O1,7.8,1,nM,CHEMBL312845,-7.8,1.2000000000000002,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)CCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2[C@H]2COCc3cn(nn3)C[C@H]3O[C@H](CCN(CCc4ccc5ccccc5c4)CC[C@H]1O2)[C@H](OCCC(C)C)[C@H]1OC(C)(C)O[C@H]13,6.17,1,nM,CHEMBL4562303,-6.17,2.83,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)CCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2[C@H]2Cn3cc(nn3)COCCCCCCN(CCc3ccc4ccccc4c3)CC[C@H]1O2,6.31,1,nM,CHEMBL4579120,-6.31,2.6900000000000004,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)N(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1cccc2ccccc12,6.53,1,nM,CHEMBL1222234,-6.53,2.4699999999999998,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(C)N(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1ccccc1,5.47,1,nM,CHEMBL1222138,-5.47,3.5300000000000002,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(CCCN1C(=O)CC(C)(C)CC1=O)N1CCN(c2ncc(F)cn2)CC1,7.06,1,nM,CHEMBL49586,-7.06,1.9400000000000004,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(CCCN1C(=O)CC2(CCCC2)CC1=O)N1CCN(c2ccc(F)cc2)CC1,7.0,1,nM,CHEMBL47419,-7.0,2.0,CHEMBL214,serotonin_1a_receptor,False,False,False
CC(CCCN1C(=O)CC2(CCCC2)CC1=O)N1CCN(c2ncc(F)cn2)CC1,7.34,1,nM,CHEMBL46075,-7.34,1.6600000000000001,CHEMBL214,serotonin_1a_receptor,False,False,False
